상세URL,상품ID,상세innerURL,썸네일URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LE1205709670?sitmNo=LE1205709670_1231291106&mall_no=1&dp_infw_cd=CASec10200001,LE1205709670,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F70%2F96%2F70%2FDSCRP_LE1205709670,https://contents.lotteon.com/itemimage/LE/12/05/70/96/70/_1/23/12/91/10/6/LE1205709670_1231291106_1.jpg/dims/resizemc/360x360,지오다노,여 어니언 퀼팅 경량 다운 자켓 370907,"45,820원"
https://www.lotteon.com/p/product/LO1306574555?sitmNo=LO1306574555_1306574558&mall_no=1&dp_infw_cd=CASec10200001,LO1306574555,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F06%2F57%2F45%2F55%2FDSCRP_LO1306574555,https://contents.lotteon.com/itemimage/LO/13/06/57/45/55/_1/30/65/74/55/8/LO1306574555_1306574558_1.jpg/dims/resizemc/360x360,타미힐피거,남녀공용 F/W 크루넥 맨투맨,"44,090원"
https://www.lotteon.com/p/product/LO1000937900?sitmNo=LO1000937900_1000937902&mall_no=1&dp_infw_cd=CASec10200001,LO1000937900,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F00%2F93%2F79%2F00%2FDSCRP_LO1000937900,https://contents.lotteon.com/itemimage/LO/10/00/93/79/00/_1/00/09/37/90/2/LO1000937900_1000937902_1.jpg/dims/resizemc/360x360,지오다노,[] 243801 코튼 져지 크루넥 3pcs 패키지,"14,850원"
https://www.lotteon.com/p/product/LO1337013692?sitmNo=LO1337013692_1337013693&mall_no=1&dp_infw_cd=CASec10200001,LO1337013692,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F37%2F01%2F36%2F92%2FDSCRP_LO1337013692,https://contents.lotteon.com/itemimage/_v145100/LO/13/37/01/36/92/_1/33/70/13/69/3/LO1337013692_1337013693_1.jpg/dims/resizemc/360x360,라코스테,안감 기모 맨투맨 SH7613,"69,260원"
https://www.lotteon.com/p/product/LO1002119223?sitmNo=LO1002119223_1002119224&mall_no=1&dp_infw_cd=CASec10200001,LO1002119223,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F02%2F11%2F92%2F23%2FDSCRP_LO1002119223,https://contents.lotteon.com/itemimage/LO/10/02/11/92/23/_1/00/21/19/22/4/LO1002119223_1002119224_1.jpg/dims/resizemc/360x360,라코스테,남녀공용 기모 후드집업 SH7609 택1,"96,810원"
https://www.lotteon.com/p/product/LO1300978510?sitmNo=LO1300978510_1300978511&mall_no=1&dp_infw_cd=CASec10200001,LO1300978510,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F00%2F97%2F85%2F10%2FDSCRP_LO1300978510,https://contents.lotteon.com/itemimage/LO/13/00/97/85/10/_1/30/09/78/51/1/LO1300978510_1300978511_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D345N2 네이비 컬러블록 면 긴팔티셔츠,"69,540원"
https://www.lotteon.com/p/product/LO1117592757?sitmNo=LO1117592757_1117592758&mall_no=1&dp_infw_cd=CASec10200001,LO1117592757,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F11%2F17%2F59%2F27%2F57%2FDSCRP_LO1117592757,https://contents.lotteon.com/itemimage/_v101231/LO/11/17/59/27/57/_1/11/75/92/75/8/LO1117592757_1117592758_1.jpg/dims/resizemc/360x360,르젠옴므,르젠 허리가 편안한 옆밴딩 스판 슬랙스 9/10부 택1(LNPJ_LD),"14,220원"
https://www.lotteon.com/p/product/LO1375212826?sitmNo=LO1375212826_1375212827&mall_no=1&dp_infw_cd=CASec10200001,LO1375212826,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F75%2F21%2F28%2F26%2FDSCRP_LO1375212826,https://contents.lotteon.com/itemimage/LO/13/75/21/28/26/_1/37/52/12/82/7/LO1375212826_1375212827_1.jpg/dims/resizemc/360x360,타미힐피거,기모 맨투맨 5종 택1,"39,900원"
https://www.lotteon.com/p/product/LE1205589896?sitmNo=LE1205589896_1230626378&mall_no=1&dp_infw_cd=CASec10200001,LE1205589896,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F58%2F98%2F96%2FDSCRP_LE1205589896,https://contents.lotteon.com/itemimage/_v083649/LE/12/05/58/98/96/_1/23/06/26/37/8/LE1205589896_1230626378_1.jpg/dims/resizemc/360x360,라코스테,남성 베이직 방모 Y-넥 가디건 AH250E-20C_6컬러,"265,050원"
https://www.lotteon.com/p/product/LO1223164854?sitmNo=LO1223164854_1223164855&mall_no=1&dp_infw_cd=CASec10200001,LO1223164854,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F23%2F16%2F48%2F54%2FDSCRP_LO1223164854,https://contents.lotteon.com/itemimage/LO/12/23/16/48/54/_1/22/31/64/85/5/LO1223164854_1223164855_1.jpg/dims/resizemc/360x360,마운틴 벨리,[1+1] [무료배송] 남자 여자 간절기 이중직 기본팬츠/슬림핏팬츠 택1,"35,520원"
https://www.lotteon.com/p/product/PD3265122?mall_no=1&dp_infw_cd=CASec10200001,LO1002134271,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F02%2F13%2F42%2F71%2FDSCRP_LO1002134271,https://contents.lotteon.com/itemimage/LO/10/02/13/42/71/_1/00/21/34/27/2/LO1002134271_1002134272_1.jpg/dims/resizemc/360x360,마운틴 벨리,[마운틴벨리] 남성 간절기 기본팬츠 9354,"19,500원"
https://www.lotteon.com/p/product/LO1298872034?sitmNo=LO1298872034_1298872036&mall_no=1&dp_infw_cd=CASec10200001,LO1298872034,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F98%2F87%2F20%2F34%2FDSCRP_LO1298872034,https://contents.lotteon.com/itemimage/LO/12/98/87/20/34/_1/29/88/72/03/6/LO1298872034_1298872036_1.jpg/dims/resizemc/360x360,마운틴 벨리,[1+1] 마운틴벨리 남성 간절기 기본 신사바지/트레이닝 팬츠 택1,"29,290원"
https://www.lotteon.com/p/product/LO1349888855?sitmNo=LO1349888855_1349888856&mall_no=1&dp_infw_cd=CASec10200001,LO1349888855,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F88%2F88%2F55%2FDSCRP_LO1349888855,https://contents.lotteon.com/itemimage/LO/13/49/88/88/55/_1/34/98/88/85/6/LO1349888855_1349888856_1.jpg/dims/resizemc/360x360,,H_남녀공용 후리스 본딩 조끼,"16,900원"
https://www.lotteon.com/p/product/LO1378104525?sitmNo=LO1378104525_1378104526&mall_no=1&dp_infw_cd=CASec10200001,LO1378104525,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F10%2F45%2F25%2FDSCRP_LO1378104525,https://contents.lotteon.com/itemimage/LO/13/78/10/45/25/_1/37/81/04/52/6/LO1378104525_1378104526_1.jpg/dims/resizemc/360x360,바쏘옴므,균일가 팬츠 14종 택1,"23,330원"
https://www.lotteon.com/p/product/LO1378096253?sitmNo=LO1378096253_1378096254&mall_no=1&dp_infw_cd=CASec10200001,LO1378096253,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F09%2F62%2F53%2FDSCRP_LO1378096253,https://contents.lotteon.com/itemimage/LO/13/78/09/62/53/_1/37/80/96/25/4/LO1378096253_1378096254_1.jpg/dims/resizemc/360x360,바쏘옴므,균일가 자켓 11종 택1,"53,820원"
https://www.lotteon.com/p/product/LO1300602845?sitmNo=LO1300602845_1300602848&mall_no=1&dp_infw_cd=CASec10200001,LO1300602845,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F00%2F60%2F28%2F45%2FDSCRP_LO1300602845,https://contents.lotteon.com/itemimage/LO/13/00/60/28/45/_1/30/06/02/84/8/LO1300602845_1300602848_1.jpg/dims/resizemc/360x360,페르지노몬티,톤다운 스판 일자 9부 면바지 FMPM3029PR,"19,620원"
https://www.lotteon.com/p/product/LO1000363572?sitmNo=LO1000363572_1000363573&mall_no=1&dp_infw_cd=CASec10200001,LO1000363572,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F00%2F36%2F35%2F72%2FDSCRP_LO1000363572,https://contents.lotteon.com/itemimage/_v161345/LO/10/00/36/35/72/_1/00/03/63/57/3/LO1000363572_1000363573_4.jpg/dims/resizemc/360x360,페르지노몬티,마약 울트라스판 일자 스트링밴딩 면바지 FMPM5006NJ,"17,820원"
https://www.lotteon.com/p/product/LO1299140049?sitmNo=LO1299140049_1299140050&mall_no=1&dp_infw_cd=CASec10200001,LO1299140049,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F99%2F14%2F00%2F49%2FDSCRP_LO1299140049,https://contents.lotteon.com/itemimage/LO/12/99/14/00/49/_1/29/91/40/05/0/LO1299140049_1299140050_1.jpg/dims/resizemc/360x360,르젠옴므,르젠 베이직 잔스트라이프 오버핏 셔츠(LNSH1790HS),"12,420원"
